StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Comp DM_1,Comp DU_1,Comp DV_1,Comp DW_1,Comp MU_1,Comp MV_1,Comp MW_1,Comp UV_1,Comp UW_1,Comp VW_1,Comp CF_1,Comp CQ_1,Comp CS_1,Comp CT_1,Comp FQ_1,Comp FS_1,Comp FT_1,Comp QS_1,Comp QT_1,Comp ST_1,Comp FI_1,Comp FU_1,Comp FX_1,Comp Fa_1,Comp IU_1,Comp IX_1,Comp Ia_1,Comp UX_1,Comp Ua_1,Comp Xa_1,Comp EK_1,Comp EL_1,Comp EV_1,Comp EW_1,Comp KL_1,Comp KV_1,Comp KW_1,Comp LV_1,Comp LW_1,Comp VW_1,Comp BD_1,Comp BL_1,Comp BN_1,Comp BP_1,Comp DL_1,Comp DN_1,Comp DP_1,Comp LN_1,Comp LP_1,Comp NP_1,Comp GH_1,Comp GO_1,Comp GR_1,Comp GY_1,Comp HO_1,Comp HR_1,Comp HY_1,Comp OR_1,Comp OY_1,Comp RY_1,Comp GJ_1,Comp GK_1,Comp GR_1,Comp GZ_1,Comp JK_1,Comp JR_1,Comp JZ_1,Comp KR_1,Comp KZ_1,Comp RZ_1,Comp IQ_1,Comp IT_1,Comp IY_1,Comp Ia_1,Comp QT_1,Comp QY_1,Comp Qa_1,Comp TY_1,Comp Ta_1,Comp Ya_1,Comp AH_1,Comp AM_1,Comp AP_1,Comp AS_1,Comp HM_1,Comp HP_1,Comp HS_1,Comp MP_1,Comp MS_1,Comp PS_1,Comp CN_1,Comp CO_1,Comp CZ_1,Comp Cb_1,Comp NO_1,Comp NZ_1,Comp Nb_1,Comp OZ_1,Comp Ob_1,Comp Zb_1,Comp Ra_1,Comp Rb_1,Comp Rc_1,Comp Rd_1,Comp ab_1,Comp ac_1,Comp ad_1,Comp bc_1,Comp bd_1,Comp cd_1
bied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 1),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 2),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 3),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 4),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 5),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 6),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 7),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 8),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 9),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 10),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 1),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 2),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 3),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 4),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 5),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 6),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 7),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 8),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 9),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 10),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 1),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 2),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 3),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 4),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 5),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 6),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 7),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 8),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 9),Geef aan hoe veel keer volgens u gebied A meer of minder geschikt is dan gebied B voor het gebruik als bouwlocatie. - 10)
"{""ImportId"":""startDate"",""timeZone"":""Europe/Amsterdam""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Amsterdam""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Amsterdam""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID100_1""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID110_1""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID114_1""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID122_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID128_1""}","{""ImportId"":""QID130_1""}","{""ImportId"":""QID132_1""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID138_1""}","{""ImportId"":""QID140_1""}","{""ImportId"":""QID142_1""}","{""ImportId"":""QID144_1""}","{""ImportId"":""QID146_1""}","{""ImportId"":""QID148_1""}","{""ImportId"":""QID150_1""}","{""ImportId"":""QID152_1""}","{""ImportId"":""QID154_1""}","{""ImportId"":""QID156_1""}","{""ImportId"":""QID158_1""}","{""ImportId"":""QID160_1""}","{""ImportId"":""QID162_1""}","{""ImportId"":""QID164_1""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID168_1""}","{""ImportId"":""QID170_1""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID174_1""}","{""ImportId"":""QID176_1""}","{""ImportId"":""QID178_1""}","{""ImportId"":""QID180_1""}","{""ImportId"":""QID182_1""}","{""ImportId"":""QID184_1""}","{""ImportId"":""QID186_1""}","{""ImportId"":""QID188_1""}","{""ImportId"":""QID190_1""}","{""ImportId"":""QID192_1""}","{""ImportId"":""QID194_1""}","{""ImportId"":""QID196_1""}","{""ImportId"":""QID198_1""}","{""ImportId"":""QID200_1""}","{""ImportId"":""QID202_1""}","{""ImportId"":""QID204_1""}","{""ImportId"":""QID206_1""}","{""ImportId"":""QID208_1""}","{""ImportId"":""QID210_1""}","{""ImportId"":""QID212_1""}","{""ImportId"":""QID214_1""}","{""ImportId"":""QID216_1""}","{""ImportId"":""QID218_1""}","{""ImportId"":""QID220_1""}","{""ImportId"":""QID222_1""}","{""ImportId"":""QID224_1""}","{""ImportId"":""QID226_1""}","{""ImportId"":""QID228_1""}","{""ImportId"":""QID230_1""}","{""ImportId"":""QID232_1""}","{""ImportId"":""QID234_1""}","{""ImportId"":""QID236_1""}","{""ImportId"":""QID238_1""}","{""ImportId"":""QID240_1""}","{""ImportId"":""QID242_1""}","{""ImportId"":""QID244_1""}","{""ImportId"":""QID246_1""}","{""ImportId"":""QID248_1""}","{""ImportId"":""QID250_1""}","{""ImportId"":""QID252_1""}","{""ImportId"":""QID254_1""}","{""ImportId"":""QID256_1""}","{""ImportId"":""QID258_1""}","{""ImportId"":""QID260_1""}","{""ImportId"":""QID262_1""}","{""ImportId"":""QID264_1""}","{""ImportId"":""QID266_1""}","{""ImportId"":""QID268_1""}","{""ImportId"":""QID270_1""}"
2023-05-30 09:32:10,2023-05-30 09:48:33,0,194.151.97.50,100,982,1,2023-05-30 09:48:34,R_3WVaul5zVjsinYd,,,,,52.4052,6.0654,anonymous,NL,Regioadvies (Kennis en ontwikkeling watersystemen / beleidsmatig),3,2,4,5,4,7,2,7,7,4,5,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 09:56:03,2023-05-30 10:34:52,0,194.151.97.50,100,2328,1,2023-05-30 10:34:53,R_ehcKTtbgSs1oOL7,,,,,52.4052,6.0654,anonymous,NL,Adviseur Watersystemen,5,3,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,3,7,7,2,7,1,7,7,,,,,,,,,,
2023-05-30 10:18:07,2023-05-30 10:35:21,0,194.151.97.50,100,1033,1,2023-05-30 10:35:21,R_3f1ThVObiQVHE0F,,,,,52.4052,6.0654,anonymous,NL,Watersysteembeheer bij het hoogheemraadschap,5,4,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,2,6,6,5,5,3,3,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:23:16,2023-05-30 10:39:33,0,194.151.97.50,100,977,1,2023-05-30 10:39:34,R_1QF0hxN7t430U6B,,,,,52.4052,6.0654,anonymous,NL,Beleidsadviseur watertekort,2,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,2,1,3,1,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 12:32:50,2023-06-06 12:40:49,0,194.151.97.50,100,479,1,2023-06-06 12:40:50,R_2YMr9IEz0gxG2jf,,,,,52.4052,6.0654,anonymous,NL,Civiele techniek,5,4,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,6,7,6,7,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 12:51:59,2023-06-06 12:58:40,0,194.151.97.50,100,401,1,2023-06-06 12:58:41,R_3FQyJ4F1e26CeK8,,,,,52.4052,6.0654,anonymous,NL,Planoloog,4,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,7,3,5,5,3,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 15:13:23,2023-06-06 13:09:48,0,194.151.97.50,100,597384,1,2023-06-06 13:09:48,R_2yrqk2urSMtfjwW,,,,,52.4052,6.0654,anonymous,NL,Ruimtelijke Adaptatie,5,3,4,2,6,6,6,5,4,2,4,3,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 12:54:25,2023-06-06 13:21:08,0,194.151.97.50,100,1602,1,2023-06-06 13:21:09,R_1oBlCjrlfyjg1MW,,,,,52.4052,6.0654,anonymous,NL,Projectleider Water,1,6,4,3,3,,,,,,,,,,,,,,,,,,,,,4,5,5,1,3,5,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 13:39:25,2023-05-30 13:43:50,0,194.151.97.50,90,265,0,2023-06-06 13:43:57,R_2OUVLKNcTo0rDkG,,,,,,,anonymous,NL,waterbeheer/ecologie,5,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-02 10:00:02,2023-06-06 16:15:17,0,194.151.97.50,100,368115,1,2023-06-06 16:15:18,R_02n2eUlCywmihgd,,,,,52.4052,6.0654,anonymous,NL,Regioadviseur Watersystemen,4,4,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,3,2,3,2,1,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-31 09:31:52,2023-05-31 09:35:04,0,194.151.97.50,90,191,0,2023-06-07 09:35:05,R_22oc12RMwio6ZzV,,,,,,,anonymous,NL,beleidsadviseur,5,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-07 09:56:21,2023-06-07 10:27:00,0,194.151.97.50,100,1839,1,2023-06-07 10:27:01,R_1jPUDOTrup99HYh,,,,,52.4052,6.0654,anonymous,NL,regioadviseur,5,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,5,4,5,3,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-07 10:36:15,2023-06-07 10:50:07,0,194.151.97.50,100,831,1,2023-06-07 10:50:08,R_3JElM4G0wvroeVB,,,,,52.4052,6.0654,anonymous,NL,beleidsmedewerker watersystemen / hydroloog,5,4,4,4,4,,,,,,,,,,,3,2,1,1,7,1,7,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-07 11:29:44,2023-06-07 12:14:19,0,194.151.97.50,100,2675,1,2023-06-07 12:14:21,R_qLBstT1VbJ65GsV,,,,,52.4052,6.0654,anonymous,NL,adviseur watersystemen,4,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,3,3,6,3,6,3,3,,,,,,,,,,,,,,,,,,,,
2023-05-30 13:28:37,2023-06-06 12:26:40,0,194.151.97.50,1,601082,0,2023-06-13 12:26:43,R_6lrwoF8TmzVNPoZ,,,,,,,anonymous,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 15:30:09,2023-06-06 15:42:18,0,194.151.97.50,92,728,0,2023-06-13 15:42:19,R_211aoD84S0tiind,,,,,,,anonymous,NL,Ruimtelijke Adaptatie/Omgeving/Advisewring,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-09 09:46:40,2023-06-09 09:50:51,0,194.151.97.50,1,250,0,2023-06-16 09:50:53,R_eQGsdMYPnQ0ZOZr,,,,,,,anonymous,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-31 11:54:26,2023-07-31 12:13:10,0,194.151.97.50,100,1123,1,2023-07-31 12:13:11,R_bjU1hQw2u8zxXVv,,,,,52.9597,4.7517,anonymous,NL,"Achtergrond - ecohydrologie, werkveld - veenweideproblematiek",5,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,4,5,5,3,6,3,5,7,,,,,,,,,,
