modifier;bbox;size
schermerbeemster;4.78729, 52.59679, 4.88033, 52.53982;
purmer;4.93269, 52.46846, 5.04805, 52.52374;
purmerend;4.90, 52.4800, 4.96284, 52.51857;40
volendam;5.0168, 52.51664, 5.0853, 52.48006;1000
volendamLowRes;5.0168, 52.51664, 5.0853, 52.48006;40
oc;4.8998, 52.4769, 5.0386, 52.5355;
ocall;4.8998, 52.4769, 5.0386, 52.5355;
ws;4.8281, 52.5892, 5.0457, 52.714;1000
wsall;4.8281, 52.5892, 5.0457, 52.714;1000
tester;4.8281, 52.5892, 5.0457, 52.714;200
testerHisBld;4.93269, 52.46846, 5.04805, 52.52374;200
noordholland;4.52690620343425, 52.36877567446727, 5.37725914616264, 53.21427409446518;1000
noordhollandHiRes;4.52690620343425, 52.36877567446727, 5.37725914616264, 53.21427409446518;2000